ID,Name,Department,Age,Salary,Location
1,Nguyễn Văn A,IT,24,50000,Hà Nội
2,Trần Thị B,Marketing,28,45000,TP.HCM
3,Lê Văn C,HR,30,60000,Hà Nội
4,Phạm Thị D,IT,35,55000,Đà Nẵng
5,Hoàng Văn E,Sales,40,70000,TP.HCM
6,Nguyễn Thị F,HR,26,52000,Hà Nội
7,Trần Văn G,IT,33,60000,Đà Nẵng
8,Lê Thị H,Marketing,27,46000,TP.HCM
9,Phạm Thị I,Sales,31,48000,Hà Nội
10,Hoàng Thị J,IT,29,62000,TP.HCM
11,Nguyễn Văn K,Sales,32,68000,Đà Nẵng
12,Trần Thị L,HR,25,53000,TP.HCM
13,Lê Văn M,Marketing,30,54000,Hà Nội
14,Phạm Thị N,IT,34,58000,Đà Nẵng
15,Hoàng Văn O,Sales,29,69000,TP.HCM
16,Nguyễn Thị P,HR,36,62000,Hà Nội
17,Trần Văn Q,IT,40,60000,Đà Nẵng
18,Lê Thị R,Marketing,33,53000,TP.HCM
19,Phạm Thị S,Sales,26,65000,Hà Nội
20,Hoàng Thị T,IT,28,68000,TP.HCM
21,Nguyễn Văn U,HR,35,72000,Đà Nẵng
22,Trần Thị V,IT,37,64000,Hà Nội
23,Lê Văn W,Marketing,24,55000,TP.HCM
24,Phạm Thị X,Sales,32,57000,Đà Nẵng
25,Hoàng Văn Y,IT,29,60000,Hà Nội
26,Nguyễn Thị Z,HR,31,56000,TP.HCM
27,Trần Văn AA,IT,33,59000,Đà Nẵng
28,Lê Thị AB,Marketing,35,63000,TP.HCM
29,Phạm Thị AC,Sales,28,65000,Hà Nội
30,Hoàng Thị AD,IT,30,67000,TP.HCM
31,Nguyễn Văn AE,HR,32,68000,Đà Nẵng
32,Trần Thị AF,Marketing,34,70000,Hà Nội
33,Lê Văn AG,Sales,38,56000,TP.HCM
34,Phạm Thị AH,IT,29,62000,Đà Nẵng
35,Hoàng Văn AI,HR,40,63000,Hà Nội
36,Nguyễn Thị AJ,Sales,41,65000,TP.HCM
37,Trần Văn AK,IT,30,68000,Đà Nẵng
38,Lê Thị AL,Marketing,33,59000,Hà Nội
39,Phạm Thị AM,Sales,27,64000,TP.HCM
40,Hoàng Thị AN,HR,34,66000,Đà Nẵng
41,Nguyễn Văn AO,IT,35,67000,Hà Nội
42,Trần Thị AP,Marketing,29,63000,TP.HCM
43,Lê Văn AQ,Sales,32,69000,Đà Nẵng
44,Phạm Thị AR,HR,38,60000,Hà Nội
45,Hoàng Văn AS,IT,27,58000,TP.HCM
46,Nguyễn Thị AT,Sales,30,61000,Đà Nẵng
47,Trần Văn AU,HR,32,59000,Hà Nội
48,Lê Thị AV,IT,35,63000,TP.HCM
49,Phạm Thị AW,Marketing,40,64000,Đà Nẵng
50,Hoàng Thị AX,Sales,29,67000,Hà Nội
